Date,GHI (W/m^2),DNI (W/m^2),DIF (W/m^2),Temperature (°C),Earth Skin Temperature (°C),Max Temperature (°C),Min Temperature (°C),Humidity (%),Precipitation (mm),Wind Speed 10m (m/s),Wind Direction 10m (°),Surface Pressure (hPa),Daylight Hours,Dust Accumulation,Cleaning Event,Shading Event,Panel Degradation (%),SHAP Value,Most Impactful Feature,Recommendation,Efficiency (%)
01-01-2024,2.97,2.2275,0.7425,13.92,14.59,23.08,7.31,44.94,0.0,2.8,53.9,0.9763,10,0.0,0,0,0.0,28.48382453147613,Dust Accumulation,Significant impact from Dust Accumulation. Investigate further.,46.70192599
02-01-2024,2.59,2.0,0.59,13.71,14.33,23.19,6.59,41.59,0.0,2.87,68.7,0.9754,10,0.027830154,0,0,0.136986301,34.59202907111379,Earth Skin Temperature (°C),Significant impact from Earth Skin Temperature (°C). Investigate further.,40.65694006
03-01-2024,2.21,1.11,1.1,13.3,14.11,22.22,6.94,43.16,0.0,2.91,47.8,0.9751,10,0.056158069,0,0,0.273972603,38.858956836134894,Earth Skin Temperature (°C),Significant impact from Earth Skin Temperature (°C). Investigate further.,34.6325965
04-01-2024,2.54,1.67,0.87,10.98,11.95,19.1,5.06,46.56,0.0,2.83,37.4,0.9761,10,0.070912548,0,0,0.410958904,34.89741818480019,Earth Skin Temperature (°C),Significant impact from Earth Skin Temperature (°C). Investigate further.,39.7361344
05-01-2024,2.86,2.12,0.74,10.84,11.65,19.82,3.82,52.19,0.0,2.69,56.7,0.9762,10,0.098590687,0,0,0.547945205,30.65566771618265,Temperature (°C),Significant impact from Temperature (°C). Investigate further.,44.66612882
06-01-2024,2.92,2.2,0.72,11.54,12.23,19.91,5.27,67.76,0.0,2.97,49.7,0.9774,10,0.118463974,0,0,0.684931507,28.462506735525675,Earth Skin Temperature (°C),Significant impact from Earth Skin Temperature (°C). Investigate further.,45.5257144
07-01-2024,2.15,0.97,1.18,12.25,13.01,20.85,5.42,60.55,0.0,2.73,79.2,0.9775,10,0.139239877,0,0,0.821917808,39.53190755313088,Earth Skin Temperature (°C),Significant impact from Earth Skin Temperature (°C). Investigate further.,33.46380111
08-01-2024,2.3,1.15,1.15,14.29,14.64,24.31,6.33,58.71,0.0,2.97,104.5,0.9767,10,0.0,1,0,0.95890411,38.28733030254953,Earth Skin Temperature (°C),Significant impact from Earth Skin Temperature (°C). Investigate further.,35.73788013
09-01-2024,2.99,2.4,0.59,13.32,13.95,20.99,7.59,55.63,0.05,3.34,19.3,0.9781,10,0.0,1,0,1.095890411,28.468055377273703,Dust Accumulation,Significant impact from Dust Accumulation. Investigate further.,46.38072425
10-01-2024,3.47,2.6025,0.8675,11.37,12.04,20.59,4.38,49.1,0.0,3.08,35.1,0.9775,10,0.022051422,0,0,1.232876712,18.011077556054225,Earth Skin Temperature (°C),Significant impact from Earth Skin Temperature (°C). Investigate further.,53.7356414
